date, modeltype, features, dataset, thetime, cv_score, macro_prec, macro_recall, macro_f1, params, ,
f1_macro2019-09-15_05_47_01, XGBClassifier, topo and code feats, ,44,0.26,0.286,0.251,0.259, booster-gbtree_max_depth-150_, ,
f1_macro2019-09-16_07_08_47, XGBClassifier, topo and code feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,46,0.26,0.286,0.251,0.259, booster-gbtree_max_depth-150_, ,
f1_macro2019-09-16_04_13_50, mlp2, tfidf and topo feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,70,0.52,0.387,0.26,0.258, d1-94_d2-20_d3-15_num_classes-10_, ,
f1_macro2019-09-16_13_40_39, RandomForestClassifier, tfidf and topo feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,1,0.223,0.295,0.245,0.252, clf__max_depth-150_clf__n_estimators-4_, ,
f1_macro2019-09-16_06_00_06, RandomForestClassifier, tfidf and topo feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,2,0.247,0.508,0.255,0.25, clf__max_depth-8_clf__n_estimators-16_, ,
f1_macro2019-09-15_01_39_37, RandomForestClassifier, topo and code feats, ,1,0.236,0.278,0.241,0.247, max_depth-150_n_estimators-16_, ,
f1_macro2019-09-16_14_33_52, XGBClassifier, topo and code feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,19,0.255,0.293,0.24,0.246, booster-gbtree_max_depth-8_, ,
f1_macro2019-09-15_11_17_13, XGBClassifier, topo and code feats, ,18,0.255,0.293,0.24,0.246, booster-gbtree_max_depth-8_, ,
f1_macro2019-09-15_16_05_22, XGBClassifier, topo and code feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,19,0.255,0.293,0.24,0.246, booster-gbtree_max_depth-8_, ,
f1_macro2019-09-16_02_47_18, RandomForestClassifier, tfidf and topo feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,0,0.253,0.34,0.244,0.245, clf__max_depth-8_clf__n_estimators-4_, ,
f1_macro2019-09-16_02_17_50, RandomForestClassifier, tfidf and topo feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,2,0.252,0.27,0.241,0.245, clf__max_depth-150_clf__n_estimators-16_, ,
f1_macro2019-09-16_09_46_33, RandomForestClassifier, tfidf and topo feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,0,0.253,0.366,0.246,0.242, clf__max_depth-8_clf__n_estimators-4_, ,
f1_macro2019-09-15_23_56_47, RandomForestClassifier, topo and code feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,1,0.22,0.261,0.243,0.24, max_depth-150_n_estimators-4_, ,
f1_macro2019-09-16_21_54_48, mlp4, tfidf and topo feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,1470,0.528,0.252,0.251,0.237, d1-94_d2-10_d3-10_d4-5_d5-5_num_classes-10_, ,
f1_macro2019-09-16_21_25_34, mlp3, tfidf and topo feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,517,0.547,0.28,0.248,0.235, d1-94_d2-10_d3-10_d4-5_num_classes-10_, ,
f1_micro2019-09-06_17_13_03, LogisticRegression, document and topo feats, ,26972,0.559,0.471,0.217,0.232, clf__C-10_clf__max_iter-100_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_preprocessor__tfidf__tvec__max_df-0.7_preprocessor__tfidf__tvec__max_features-200_preprocessor__tfidf__tvec__min_df-0.1_preprocessor__tfidf__tvec__ngram_range-[1, 2]_, 
f1_micro2019-09-06_20_52_37, LogisticRegression, document and topo feats, ,26972,0.559,0.471,0.217,0.232, clf__C-10_clf__max_iter-100_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_preprocessor__tfidf__tvec__max_df-0.7_preprocessor__tfidf__tvec__max_features-200_preprocessor__tfidf__tvec__min_df-0.1_preprocessor__tfidf__tvec__ngram_range-[1, 2]_, 
f1_macro2019-09-15_19_10_41, RandomForestClassifier, tfidf and topo feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,1,0.25,0.447,0.243,0.232, clf__max_depth-8_clf__n_estimators-16_, ,
recall_micro2019-08-18_08_25_20, RandomForestClassifier, document_simplified, ,89,0.204,0.285,0.248,0.231, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-09-06_06_40_48, LogisticRegression, document, ,20612,0.553,0.444,0.22,0.23, clf__C-10_clf__max_iter-100_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_preprocessor__tfidf__tvec__max_df-0.8_preprocessor__tfidf__tvec__max_features-200_preprocessor__tfidf__tvec__min_df-0.1_preprocessor__tfidf__tvec__ngram_range-[1, 2]_, 
f1_micro2019-09-06_09_43_27, LogisticRegression, document, ,20612,0.553,0.444,0.22,0.23, clf__C-10_clf__max_iter-100_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_preprocessor__tfidf__tvec__max_df-0.8_preprocessor__tfidf__tvec__max_features-200_preprocessor__tfidf__tvec__min_df-0.1_preprocessor__tfidf__tvec__ngram_range-[1, 2]_, 
f1_micro2019-09-06_06_40_48, LogisticRegression, document, ,20612,0.553,0.444,0.22,0.23, clf__C-10_clf__max_iter-100_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_preprocessor__tfidf__tvec__max_df-0.8_preprocessor__tfidf__tvec__max_features-200_preprocessor__tfidf__tvec__min_df-0.1_preprocessor__tfidf__tvec__ngram_range-[1, 2]_, 
f1_micro2019-09-06_09_43_27, LogisticRegression, document, ,20612,0.553,0.444,0.22,0.23, clf__C-10_clf__max_iter-100_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_preprocessor__tfidf__tvec__max_df-0.8_preprocessor__tfidf__tvec__max_features-200_preprocessor__tfidf__tvec__min_df-0.1_preprocessor__tfidf__tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-18_08_18_22, RandomForestClassifier, document, ,88,0.2,0.287,0.251,0.227, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_macro2019-09-16_06_54_56, XGBClassifier, topo and code feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max/,601,0.205,0.236,0.218,0.221, booster-gbtree_max_depth-150_, ,
f1_micro2019-08-18_08_18_22, RandomForestClassifier, document, ,87,0.204,0.258,0.237,0.218, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_macro2019-09-15_07_08_27, LogisticRegression, tfidf and topo feats, ,8,0.229,0.37,0.23,0.217, clf__C-1_clf__max_iter-100_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_, ,
f1_macro2019-09-15_03_16_29, LogisticRegression, tfidf and topo feats, ,16,0.229,0.37,0.23,0.217, clf__C-1_clf__max_iter-100_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_, ,
f1_macro2019-09-16_13_11_59, XGBClassifier, topo and code feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max/,161,0.192,0.252,0.214,0.215, booster-gbtree_max_depth-8_, ,
f1_macro2019-09-15_19_15_15, mlp2, tfidf and topo feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,270,0.395,0.224,0.222,0.213, d1-96_d2-20_d3-15_num_classes-24_, ,
f1_macro2019-09-17_00_37_20, mlp3, tfidf and topo feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,122,0.491,0.231,0.235,0.212, d1-94_d2-10_d3-10_d4-5_num_classes-10_, ,
f1_macro2019-09-16_13_52_18, mlp2, tfidf and topo feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,436,0.382,0.24,0.223,0.212, d1-96_d2-20_d3-15_num_classes-24_, ,
f1_micro2019-09-06_19_42_16, RandomForestClassifier, document and topo feats, ,2678,0.346,0.33,0.22,0.212, clf__max_depth-8_clf__n_estimators-16_preprocessor__tfidf__tvec__max_df-0.9_preprocessor__tfidf__tvec__max_features-200_preprocessor__tfidf__tvec__min_df-0.1_preprocessor__tfidf__tvec__ngram_range-[1, 2]_, 
f1_macro2019-09-15_16_01_03, RandomForestClassifier, topo and code feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,1,0.208,0.21,0.22,0.212, max_depth-150_n_estimators-4_, ,
recall_micro2019-08-17_14_18_23, RandomForestClassifier, code_feats, ,8,0.203,0.245,0.208,0.212, max_depth-16_n_estimators-100_, ,
recall_micro2019-08-18_08_18_22, LogisticRegression, document, ,49,0.203,0.211,0.241,0.212, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-18_08_18_22, LogisticRegression, document, ,48,0.203,0.211,0.241,0.212, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-18_08_18_22, LogisticRegression, document, ,50,0.203,0.211,0.241,0.212, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-18_08_25_20, LogisticRegression, document_simplified, ,51,0.203,0.211,0.241,0.212, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-18_08_25_20, LogisticRegression, document_simplified, ,50,0.203,0.211,0.241,0.212, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-18_08_25_20, LogisticRegression, document_simplified, ,51,0.203,0.211,0.241,0.212, clf__C-10_clf__max_iter-200_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-09-06_20_52_37, RandomForestClassifier, document and topo feats, ,13172,0.576,0.459,0.199,0.211, clf__max_depth-8_clf__n_estimators-16_preprocessor__tfidf__tvec__max_df-0.8_preprocessor__tfidf__tvec__max_features-200_preprocessor__tfidf__tvec__min_df-0.1_preprocessor__tfidf__tvec__ngram_range-[1, 2]_, 
f1_macro2019-09-15_05_19_28, LogisticRegression, tfidf and topo feats, ,6,0.229,0.364,0.225,0.211, clf__C-1_clf__max_iter-100_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_, ,
f1_macro2019-09-15_03_00_21, LogisticRegression, tfidf and topo feats, ,11,0.229,0.364,0.225,0.211, clf__C-1_clf__max_iter-100_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_, ,
precision_micro2019-08-18_08_25_20, RandomForestClassifier, document_simplified, ,89,0.196,0.231,0.241,0.211, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_macro2019-08-17_14_18_23, RandomForestClassifier, code_feats, ,8,0.191,0.248,0.209,0.211, max_depth-16_n_estimators-100_, ,
f1_macro2019-09-15_11_13_05, RandomForestClassifier, topo and code feats, ,1,0.221,0.21,0.216,0.21, max_depth-150_n_estimators-4_, ,
f1_micro2019-08-18_08_25_20, RandomForestClassifier, document_simplified, ,88,0.198,0.26,0.237,0.21, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_macro2019-09-15_22_20_14, RandomForestClassifier, tfidf and topo feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,3,0.208,0.288,0.219,0.209, clf__max_depth-8_clf__n_estimators-16_, ,
precision_micro2019-08-17_14_18_23, RandomForestClassifier, code_feats, ,8,0.2,0.244,0.209,0.208, max_depth-16_n_estimators-500_, ,
f1_macro2019-09-16_07_41_49, RandomForestClassifier, tfidf and topo feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,1,0.193,0.238,0.209,0.208, clf__max_depth-150_clf__n_estimators-4_, ,
f1_micro2019-09-08_19_23_30, RandomForestClassifier, tfidf and topo feats, ,5,0.391,0.349,0.21,0.207, clf__max_depth-8_clf__n_estimators-16_, ,
f1_macro2019-09-15_05_42_05, RandomForestClassifier, topo and code feats, ,1,0.195,0.418,0.215,0.206, max_depth-8_n_estimators-16_, ,
f1_micro2019-08-17_14_18_23, RandomForestClassifier, code_feats, ,8,0.199,0.233,0.207,0.205, max_depth-16_n_estimators-500_, ,
f1_macro2019-08-21_00_13_45, XGBClassifierlinear, code_feats, ,3,0.268,0.204,0.259,0.204, lambda-0_, ,
f1_micro2019-09-06_00_04_52, LogisticRegression, document and topo feats, ,120,0.535,0.347,0.19,0.203, clf__C-10_clf__max_iter-70_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_preprocessor__tfidf__tvec__max_df-0.8_preprocessor__tfidf__tvec__max_features-100_preprocessor__tfidf__tvec__min_df-0.1_preprocessor__tfidf__tvec__ngram_range-[2, 3]_, 
f1_micro2019-09-06_17_20_29, RandomForestClassifier, document and topo feats, ,2775,0.342,0.311,0.213,0.203, clf__max_depth-8_clf__n_estimators-16_preprocessor__tfidf__tvec__max_df-0.8_preprocessor__tfidf__tvec__max_features-100_preprocessor__tfidf__tvec__min_df-0.1_preprocessor__tfidf__tvec__ngram_range-[1, 2]_, 
precision_macro2019-08-17_14_18_23, RandomForestClassifier, code_feats, ,8,0.205,0.228,0.205,0.203, max_depth-16_n_estimators-500_, ,
recall_macro2019-08-17_14_18_23, RandomForestClassifier, code_feats, ,8,0.201,0.233,0.206,0.203, max_depth-16_n_estimators-500_, ,
f1_micro2019-08-22_22_02_39, LogisticRegression, document and code feats, ,121,0.532,0.358,0.187,0.202, clf__C-10_clf__max_iter-70_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[2, 3]_, 
f1_micro2019-09-06_16_34_11, LogisticRegression, document and topo feats, ,5359,0.323,0.225,0.214,0.202, clf__C-1_clf__max_iter-100_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_preprocessor__tfidf__tvec__max_df-0.9_preprocessor__tfidf__tvec__max_features-200_preprocessor__tfidf__tvec__min_df-0.1_preprocessor__tfidf__tvec__ngram_range-[1, 2]_, 
f1_micro2019-09-06_17_20_29, LogisticRegression, document and topo feats, ,5359,0.323,0.225,0.214,0.202, clf__C-1_clf__max_iter-100_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_preprocessor__tfidf__tvec__max_df-0.9_preprocessor__tfidf__tvec__max_features-200_preprocessor__tfidf__tvec__min_df-0.1_preprocessor__tfidf__tvec__ngram_range-[1, 2]_, 
f1_micro2019-09-06_18_57_36, LogisticRegression, document and topo feats, ,4955,0.323,0.225,0.214,0.202, clf__C-1_clf__max_iter-100_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_preprocessor__tfidf__tvec__max_df-0.9_preprocessor__tfidf__tvec__max_features-200_preprocessor__tfidf__tvec__min_df-0.1_preprocessor__tfidf__tvec__ngram_range-[1, 2]_, 
f1_micro2019-09-06_19_42_16, LogisticRegression, document and topo feats, ,4955,0.323,0.225,0.214,0.202, clf__C-1_clf__max_iter-100_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_preprocessor__tfidf__tvec__max_df-0.9_preprocessor__tfidf__tvec__max_features-200_preprocessor__tfidf__tvec__min_df-0.1_preprocessor__tfidf__tvec__ngram_range-[1, 2]_, 
f1_micro2019-09-06_09_43_27, RandomForestClassifier, document, ,10957,0.559,0.676,0.184,0.201, clf__max_depth-8_clf__n_estimators-16_preprocessor__tfidf__tvec__max_df-0.8_preprocessor__tfidf__tvec__max_features-500_preprocessor__tfidf__tvec__min_df-0.2_preprocessor__tfidf__tvec__ngram_range-[1, 2]_, 
f1_micro2019-09-06_09_43_27, RandomForestClassifier, document, ,10957,0.559,0.676,0.184,0.201, clf__max_depth-8_clf__n_estimators-16_preprocessor__tfidf__tvec__max_df-0.8_preprocessor__tfidf__tvec__max_features-500_preprocessor__tfidf__tvec__min_df-0.2_preprocessor__tfidf__tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-22_22_04_50, LogisticRegression, document and topo and code feats, ,129,0.532,0.348,0.186,0.201, clf__C-10_clf__max_iter-70_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[2, 3]_, 
f1_micro2019-09-08_21_14_30, LogisticRegression, document and topo feats, ,5393,0.385,0.277,0.205,0.201, clf__C-1_clf__max_iter-100_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_preprocessor__tfidf__tvec__max_df-0.9_preprocessor__tfidf__tvec__max_features-200_preprocessor__tfidf__tvec__min_df-0.1_preprocessor__tfidf__tvec__ngram_range-[1, 2]_, 
f1_micro2019-09-08_22_01_53, LogisticRegression, document and topo feats, ,5393,0.385,0.277,0.205,0.201, clf__C-1_clf__max_iter-100_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_preprocessor__tfidf__tvec__max_df-0.9_preprocessor__tfidf__tvec__max_features-200_preprocessor__tfidf__tvec__min_df-0.1_preprocessor__tfidf__tvec__ngram_range-[1, 2]_, 
f1_macro2019-09-16_13_39_23, RandomForestClassifier, tfidf and topo feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,2,0.196,0.259,0.212,0.2, clf__max_depth-8_clf__n_estimators-16_, ,
f1_micro2019-08-22_21_51_43, LogisticRegression, document and topo feats, ,88,0.532,0.349,0.185,0.199, clf__C-10_clf__max_iter-20_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[2, 3]_, 
f1_micro2019-08-22_22_00_36, LogisticRegression, document and topo feats, ,87,0.532,0.35,0.185,0.199, clf__C-10_clf__max_iter-70_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[2, 3]_, 
f1_micro2019-08-22_20_11_30, LogisticRegression, document, ,66,0.532,0.351,0.184,0.198, clf__C-10_clf__max_iter-20_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[2, 3]_, 
f1_micro2019-08-22_20_17_05, LogisticRegression, document, ,72,0.532,0.351,0.184,0.198, clf__C-10_clf__max_iter-20_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[2, 3]_, 
f1_micro2019-08-22_20_22_09, LogisticRegression, document, ,91,0.532,0.351,0.184,0.198, clf__C-10_clf__max_iter-20_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[2, 3]_, 
f1_micro2019-08-22_20_25_32, LogisticRegression, document, ,80,0.532,0.351,0.184,0.198, clf__C-10_clf__max_iter-20_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[2, 3]_, 
f1_micro2019-08-22_22_07_39, LogisticRegression, document, ,97,0.532,0.351,0.184,0.198, clf__C-10_clf__max_iter-70_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[2, 3]_, 
f1_micro2019-09-06_00_02_47, LogisticRegression, document, ,106,0.532,0.351,0.184,0.198, clf__C-10_clf__max_iter-70_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_preprocessor__tfidf__tvec__max_df-0.8_preprocessor__tfidf__tvec__max_features-100_preprocessor__tfidf__tvec__min_df-0.1_preprocessor__tfidf__tvec__ngram_range-[2, 3]_, 
f1_macro2019-09-16_21_16_54, mlp3, tfidf and topo feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,277,0.518,0.193,0.225,0.198, d1-94_d2-10_d3-10_d4-5_num_classes-10_, ,
recall_micro2019-08-18_08_18_22, RandomForestClassifier, document, ,88,0.2,0.224,0.226,0.198, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_macro2019-09-15_01_41_15, XGBClassifier, topo and code feats, ,86,0.192,0.237,0.199,0.198, booster-gbtree_max_depth-8_, ,
f1_micro2019-09-08_19_44_32, mlp1, tfidf and topo feats, ,258,0.391,0.219,0.202,0.196, d1-95_d2-10_num_classes-24_, ,
f1_macro2019-09-15_05_19_19, XGBClassifier, topo and code feats, ,226,0.193,0.214,0.196,0.196, booster-gbtree_max_depth-150_, ,
f1_macro2019-09-15_03_00_03, XGBClassifier, topo and code feats, ,223,0.193,0.214,0.196,0.196, booster-gbtree_max_depth-150_, ,
f1_macro2019-09-15_03_02_07, RandomForestClassifier, topo and code feats, ,1,0.199,0.362,0.206,0.195, max_depth-8_n_estimators-16_, ,
f1_macro2019-09-16_09_30_06, RandomForestClassifier, topo and code feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,1,0.198,0.294,0.198,0.195, max_depth-8_n_estimators-4_, ,
f1_micro2019-09-08_22_01_53, RandomForestClassifier, document and topo feats, ,2840,0.396,0.356,0.198,0.193, clf__max_depth-8_clf__n_estimators-16_preprocessor__tfidf__tvec__max_df-0.9_preprocessor__tfidf__tvec__max_features-500_preprocessor__tfidf__tvec__min_df-0.2_preprocessor__tfidf__tvec__ngram_range-[1, 2]_, 
f1_micro2019-09-08_19_09_52, RandomForestClassifier, tfidf and topo feats, ,5,0.392,0.408,0.197,0.193, clf__max_depth-8_clf__n_estimators-16_, ,
f1_micro2019-09-08_22_18_49, mlp1, document and topo feats, ,243,0.378,0.242,0.201,0.193, d1-110_d2-10_num_classes-24_preprocessor__tfidf__tvec__max_df-0.8_preprocessor__tfidf__tvec__max_features-100_preprocessor__tfidf__tvec__min_df-0.1_preprocessor__tfidf__tvec__ngram_range-[2, 3]_, 
f1_macro2019-09-16_17_11_06, RandomForestClassifier, topo and code feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,1,0.189,0.329,0.202,0.193, max_depth-8_n_estimators-16_, ,
f1_macro2019-09-16_07_01_43, RandomForestClassifier, tfidf and topo feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,1,0.182,0.235,0.2,0.193, clf__max_depth-8_clf__n_estimators-4_, ,
f1_macro2019-09-16_13_09_11, mlp2, tfidf and topo feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,135,0.34,0.21,0.211,0.192, d1-96_d2-20_d3-15_num_classes-24_, ,
f1_macro2019-09-15_23_56_30, XGBClassifier, topo and code feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,118,0.174,0.204,0.193,0.192, booster-gbtree_max_depth-150_, ,
f1_macro2019-09-16_21_08_54, mlp4, tfidf and topo feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,150,0.484,0.211,0.217,0.191, d1-94_d2-10_d3-10_d4-5_d5-5_num_classes-10_, ,
f1_macro2019-09-16_01_00_05, XGBClassifier, x_topo_feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,93,0.171,0.203,0.19,0.19, booster-gbtree_max_depth-150_, ,
f1_macro2019-09-16_04_20_37, LogisticRegression, tfidf and topo feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,21,0.173,0.223,0.202,0.188, clf__C-1_clf__max_iter-100_clf__multi_class-ovr_clf__penalty-l2_clf__solver-newton-cg_, ,
precision_macro2019-08-17_14_59_20, RandomForestClassifier, feats_topo_code, ,19,0.151,0.2,0.192,0.188, max_depth-16_n_estimators-500_, ,
f1_macro2019-09-15_09_21_15, RandomForestClassifier, x_topo_feats, ,1,0.178,0.199,0.188,0.187, max_depth-150_n_estimators-16_, ,
f1_macro2019-09-16_02_17_37, mlp2, topo and code feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,222,0.42,0.232,0.203,0.186, d1-17_d2-20_d3-15_num_classes-10_, ,
f1_macro2019-09-16_08_25_24, RandomForestClassifier, topo and code feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,1,0.186,0.246,0.198,0.186, max_depth-8_n_estimators-4_, ,
f1_macro2019-09-15_14_07_50, RandomForestClassifier, x_topo_feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_third/,1,0.164,0.199,0.187,0.186, max_depth-150_n_estimators-16_, ,
f1_macro2019-08-20_23_47_25, RandomForestClassifier, x_topo_feats, ,3,0.225,0.166,0.219,0.185, max_depth-8_n_estimators-100_, ,
f1_macro2019-09-15_11_12_55, XGBClassifier, topo and code feats, ,49,0.174,0.204,0.188,0.185, booster-gbtree_max_depth-8_, ,
f1_macro2019-09-15_16_00_50, XGBClassifier, topo and code feats, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,51,0.174,0.204,0.188,0.185, booster-gbtree_max_depth-8_, ,
recall_micro2019-08-17_14_59_20, RandomForestClassifier, feats_topo_code, ,20,0.152,0.193,0.194,0.185, max_depth-16_n_estimators-500_, ,
f1_macro2019-09-16_07_01_39, mlp2, topo and code feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,373,0.413,0.251,0.205,0.184, d1-17_d2-20_d3-15_num_classes-10_, ,
f1_macro2019-09-15_22_53_55, XGBClassifier, x_topo_feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,27,0.165,0.258,0.188,0.184, booster-gbtree_max_depth-8_, ,
precision_macro2019-08-17_14_18_23, XGBClassifier, code_feats, ,235,0.193,0.218,0.184,0.183, booster-gbtree_max_depth-16_, ,
recall_macro2019-08-17_14_18_23, XGBClassifier, code_feats, ,231,0.185,0.218,0.184,0.183, booster-gbtree_max_depth-16_, ,
recall_micro2019-08-17_14_18_23, XGBClassifier, code_feats, ,237,0.184,0.218,0.184,0.183, booster-gbtree_max_depth-16_, ,
precision_micro2019-08-17_14_18_23, XGBClassifier, code_feats, ,240,0.184,0.218,0.184,0.183, booster-gbtree_max_depth-16_, ,
f1_micro2019-08-17_14_18_23, XGBClassifier, code_feats, ,238,0.184,0.218,0.184,0.183, booster-gbtree_max_depth-16_, ,
f1_macro2019-08-17_14_18_23, XGBClassifier, code_feats, ,239,0.179,0.218,0.184,0.183, booster-gbtree_max_depth-16_, ,
f1_macro2019-09-15_05_00_01, mlp2, tfidf and topo feats, ,19,0.341,0.185,0.202,0.18, d1-96_d2-20_d3-15_num_classes-24_, ,
f1_macro2019-09-15_14_07_41, RandomForestClassifier, x_topo_feats, ./tmp/symbols_dataset_1_precomp_split_undersample_max_half/,2,0.168,0.189,0.181,0.18, max_depth-150_n_estimators-16_, ,
